Media Source,Campaign Name,Cost,Installs,D01 Total Revenue,D03 Total Revenue,D07 Total Revenue,D30 Total Revenue,CPI,D01 ROAS,D03 ROAS,D07 ROAS,D30 ROAS
Facebook,IMT-FB-Android-RoW2-AE-Video-FANIS,"$1,113 ",385,$68 ,$128 ,$182 ,$426 ,,,,,
Facebook,IMT-FB-Android-UK-AE-Video-Stories,"$1,059 ",255,$47 ,$80 ,$128 ,$180 ,,,,,
Facebook,IMT-FB-Android-EN2-AE-Value-Video-Feed,"$1,019 ",102,$105 ,$169 ,$281 ,$576 ,,,,,
Facebook,IMT-FB-iOS-EN-US-Feed-AE-Playables,$999 ,62,$17 ,$45 ,$65 ,$111 ,,,,,
Facebook,IMT-FB-Android-EN2-AE-Value-Video-Feed-AllExceptFAN,$967 ,79,$64 ,$186 ,$317 ,$547 ,,,,,
Facebook,IMT-FB-iOS-EN-AE-Video-FANIS,$785 ,162,$45 ,$185 ,$272 ,$379 ,,,,,
Facebook,IMT-FB-Android-EN-US-Feed-Value-Playables,$720 ,69,$23 ,$42 ,$62 ,$101 ,,,,,
Facebook,IMT-FB-Android-RoW2-JP-JP-FANRW-VO-Video,$631 ,39,$8 ,$62 ,$180 ,$218 ,,,,,
Facebook,IMT-FB-Android-RoW2-AE-Playables-Feed,$630 ,600,$174 ,$304 ,$465 ,$760 ,,,,,
Facebook,IMT-FB-Android-EN2-AE-Value-Video-Feed-AllExceptFAN&Feed,$583 ,63,$7 ,$43 ,$79 ,$227 ,,,,,
Facebook,IMT-FB-iOS-RoW-AE-Video-Feed,$539 ,283,$43 ,$158 ,$301 ,$498 ,,,,,
Facebook,IMT-FB-iOS-RoW-AE-Video-FANIS,$534 ,299,$28 ,$81 ,$151 ,$238 ,,,,,
Facebook,IMT-FB-iOS-mROAS-Test0.1,$504 ,74,$8 ,$119 ,$257 ,$577 ,,,,,
Facebook,IMT-FB-iOS-EN-US-ALL-AI-Video-CostCap-1DayConvWindowView,$427 ,383,$13 ,$23 ,$27 ,$34 ,,,,,
Facebook,IMT-FB-iOS-mROAS-Test0.2,$426 ,50,$35 ,$84 ,$122 ,$222 ,,,,,
Facebook,IMT-FB-iOS-US-AE-DY,$403 ,43,$7 ,$28 ,$49 ,$70 ,,,,,
Facebook,IMT-FB-iOS-EN-UK-ALL-AI-Video-TargetCost-1DayConvWindowView,$384 ,267,$4 ,$15 ,$22 ,$43 ,,,,,
Facebook,IMT-FB-iOS-mROAS-Test0.3,$383 ,58,$69 ,$124 ,$201 ,$435 ,,,,,
Facebook,IMT-FB-Android-UK-AE-Video-FANIS,$379 ,62,$17 ,$36 ,$44 ,$59 ,,,,,
Facebook,IMT-FB-Android-EN2-AE-Value-Playables-Feed,$305 ,43,$15 ,$89 ,$124 ,$253 ,,,,,
Facebook,IMT-FB-iOS-Poll-EN-WW-AE,$277 ,41,$6 ,$11 ,$130 ,$173 ,,,,,
Facebook,IMT-FB-Android-RoW2-AE-Value-Playables-Feed,$276 ,180,$16 ,$62 ,$86 ,$121 ,,,,,
Facebook,IMT-FB-Android-EN2-AE-Playables-Feed,$230 ,26,$3 ,$10 ,$39 ,$98 ,,,,,
Facebook,IMT-FB-iOS-CBOCountryTest-Tier-AU/CA/FR,$177 ,48,$5 ,$26 ,$28 ,$57 ,,,,,
